Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
netlib-perold.mps,0,625,1506,593,1374,21782,1.221990e-01,2.838000e-12,1.030000e-07,-9.380755e+03,-9.380757e+03,0,33,9.000000e-02
netlib-scfxm3.mps,0,990,1800,915,1704,14138,3.268100e-02,1.777000e-09,9.860000e-12,5.490125e+04,5.490125e+04,0,19,6.000000e-02
netlib-ship04l.mps,0,402,2166,292,1905,2641,5.852400e-02,3.271000e-09,4.610000e-09,1.793325e+06,1.793325e+06,0,12,2.000000e-02
netlib-ganges.mps,0,1309,1706,1113,1510,29677,4.701500e-02,3.105000e-11,2.530000e-09,-1.095857e+05,-1.095857e+05,0,16,6.000000e-02
netlib-sctap2.mps,0,1090,2500,1033,2443,11736,2.102800e-02,1.657000e-14,5.330000e-08,1.724807e+03,1.724807e+03,0,12,3.000000e-02
netlib-grow22.mps,0,440,946,440,946,9058,9.130200e-02,4.096000e-13,2.720000e-14,-1.608343e+08,-1.608343e+08,0,21,6.000000e-02
netlib-ship08s.mps,0,778,2467,276,1604,2295,5.663200e-02,1.613000e-12,9.360000e-11,1.920098e+06,1.920098e+06,0,11,2.000000e-02
netlib-pilot.we.mps,0,722,2928,701,2814,15605,6.208600e-02,2.346000e-11,2.210000e-07,-2.720107e+06,-2.720108e+06,0,45,1.300000e-01
netlib-maros.mps,0,846,1966,655,1437,13454,6.119200e-02,1.142000e-09,8.400000e-10,-5.806374e+04,-5.806374e+04,0,18,4.000000e-02
netlib-stocfor2.mps,0,2157,3045,1980,2868,22841,1.114700e-02,1.391000e-08,4.880000e-08,-3.902441e+04,-3.902441e+04,0,19,7.000000e-02
netlib-25fv47.mps,0,821,1876,788,1843,33809,1.076260e-01,4.629000e-13,1.790000e-12,5.501846e+03,5.501846e+03,0,25,1.100000e-01
netlib-scsd8.mps,0,397,2750,397,2750,5879,7.208300e-02,2.844000e-14,6.690000e-08,9.050000e+02,9.050000e+02,0,10,3.000000e-02
netlib-ship12s.mps,0,1151,2869,340,1943,2507,4.043300e-02,6.198000e-12,8.030000e-08,1.489236e+06,1.489236e+06,0,12,2.000000e-02
netlib-fit1p.mps,0,627,1677,627,1677,627,1.595000e-03,1.502000e-09,1.170000e-07,9.146379e+03,9.146377e+03,0,16,7.000000e-02
netlib-sctap3.mps,0,1480,3340,1408,3268,16100,1.553200e-02,7.855000e-15,7.740000e-15,1.424000e+03,1.424000e+03,0,14,6.000000e-02
netlib-sierra.mps,0,1227,2735,1212,2705,12862,1.668700e-02,1.815000e-15,1.540000e-07,1.539436e+07,1.539436e+07,0,18,6.000000e-02
netlib-pilotnov.mps,0,975,2446,848,2117,46353,1.277400e-01,4.849000e-12,4.330000e-08,-4.497276e+03,-4.497277e+03,0,16,1.100000e-01
netlib-czprob.mps,0,929,3562,671,2779,3520,1.414600e-02,4.981000e-14,6.230000e-10,2.185197e+06,2.185197e+06,0,26,4.000000e-02
netlib-fit1d.mps,0,24,1049,24,1049,296,9.861110e-01,4.270000e-12,3.040000e-10,-9.146378e+03,-9.146378e+03,0,17,6.000000e-02
