Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
pds-pds-20.mps,0,33874,108175,32287,106180,41662111,7.990000e-02,6.118000e-13,9.750000e-06,2.382186e+10,2.382158e+10,10,39,2.801290e+03
pds-pds-30.mps,0,49944,158489,47968,156042,14643812,-1.466400e-02,1.556000e-13,1.290000e-05,2.138568e+10,2.138532e+10,4,48,5.441900e+02
pds-pds-40.mps,0,66844,217531,64276,214385,28195225,-3.443700e-01,1.375000e-13,1.500000e-05,1.885541e+10,1.885500e+10,6,50,1.653320e+03
pds-pds-50.mps,0,83060,275814,80339,272513,41767191,-3.907800e-02,1.198000e-12,1.430000e-05,1.660373e+10,1.660342e+10,7,54,3.022910e+03
pds-pds-60.mps,0,99431,336421,96514,332862,58118583,1.601900e-01,1.095000e-13,3.220000e-05,1.426628e+10,1.426565e+10,9,53,5.110820e+03
pds-pds-70.mps,-1,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
pds-pds-80.mps,-1,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
pds-pds-90.mps,-1,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
pds-pds-100.mps,-1,0,0,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0.000000e+00
